sell_type,cust_type,prod_type,time_type,model,rmse
sell_out,A,all,W,ar,30923537
sell_out,A,all,W,arma,33719030
sell_out,A,all,M,ar,64024217
sell_out,A,all,M,hw,79548261
sell_out,A,all,M,arima,96389514
sell_out,A,all,M,arma,96645328
sell_out,A,all,M,ses,98102621
sell_out,B,바,D,ses,137973
sell_out,B,바,D,hw,148505
sell_out,B,바,D,arma,149812
sell_out,B,바,D,arima,150405
sell_out,B,바,D,ar,173416
sell_out,B,바,W,ses,590383
sell_out,B,바,W,hw,823486
sell_out,B,바,W,ar,954023
sell_out,B,바,W,arima,1412979
sell_out,B,바,W,arma,1670967
sell_out,B,바,M,ses,1577783
sell_out,B,바,M,hw,2635590
sell_out,B,바,M,ar,2885374
sell_out,B,바,M,arima,6843601
sell_out,B,바,M,arma,6875068
sell_out,B,나,D,ses,1053169
sell_out,B,나,D,arima,1098695
sell_out,B,나,D,arma,1127131
sell_out,B,나,D,ar,1143506
sell_out,B,나,D,hw,1194969
sell_out,B,나,W,arima,3527750
sell_out,B,나,W,arma,3729805
sell_out,B,나,W,ar,3793770
sell_out,B,나,W,ses,4453524
sell_out,B,나,W,hw,4771690
sell_out,B,나,M,ar,12856436
sell_out,B,나,M,arma,13793951
sell_out,B,나,M,arima,13811686
sell_out,B,나,M,ses,14318657
sell_out,B,나,M,hw,17890841
sell_out,B,라,D,ar,239202
sell_out,B,라,D,arima,271586
sell_out,B,라,D,arma,276719
sell_out,B,라,D,ses,280115
sell_out,B,라,D,hw,285450
sell_out,B,라,W,hw,857769
sell_out,B,라,W,ses,1166617
sell_out,B,라,W,ar,1508981
sell_out,B,라,W,arma,1943637
sell_out,B,라,W,arima,2083983
sell_out,B,라,M,arima,14852391
sell_out,B,라,M,arma,14864956
sell_out,B,라,M,ar,15039235
sell_out,B,라,M,ses,19746803
sell_out,B,라,M,hw,23741565
sell_out,B,all,D,arima,1370748
sell_out,B,all,D,arma,1404451
sell_out,B,all,D,ses,1437672
sell_out,B,all,D,ar,1527275
sell_out,B,all,D,hw,1582251
sell_out,B,all,W,ses,5390976
sell_out,B,all,W,ar,5475499
sell_out,B,all,W,hw,6138961
sell_out,B,all,W,arima,6253191
sell_out,B,all,W,arma,6301304
sell_out,B,all,M,ar,18696984
sell_out,B,all,M,ses,20216561
sell_out,B,all,M,arima,23436038
sell_out,B,all,M,arma,23530092
sell_out,B,all,M,hw,24659900
sell_out,C,바,D,ar,86798
sell_out,C,바,D,arma,101539
sell_out,C,바,D,arima,102602
sell_out,C,바,D,hw,112104
sell_out,C,바,D,ses,137741
sell_out,C,바,W,ses,691741
sell_out,C,바,W,hw,801622
sell_out,C,바,W,arima,865602
sell_out,C,바,W,ar,1098336
sell_out,C,바,W,arma,1457787
sell_out,C,바,M,ses,1765089
sell_out,C,바,M,hw,2267054
sell_out,C,바,M,arima,2980285
sell_out,C,바,M,ar,3056846
sell_out,C,바,M,arma,3111025
sell_out,C,나,D,ar,383834
sell_out,C,나,D,arima,446979
sell_out,C,나,D,arma,463688
sell_out,C,나,D,hw,590258
sell_out,C,나,D,ses,798703
sell_out,C,나,W,arima,3981923
sell_out,C,나,W,arma,4335413
sell_out,C,나,W,ses,4767178
sell_out,C,나,W,ar,5028249
sell_out,C,나,W,hw,5243330
sell_out,C,나,M,arma,8924169
sell_out,C,나,M,arima,9073090
sell_out,C,나,M,ses,11349165
sell_out,C,나,M,ar,13984373
sell_out,C,나,M,hw,15746127
sell_out,C,마,D,ses,396826
sell_out,C,마,D,arima,479069
sell_out,C,마,D,ar,504341
sell_out,C,마,D,hw,884819
sell_out,C,마,D,arma,1286067
sell_out,C,마,W,hw,1936635
sell_out,C,마,W,ar,2592784
sell_out,C,마,W,ses,7604532
sell_out,C,마,W,arima,10061555
sell_out,C,마,W,arma,21922042
sell_out,C,마,M,ar,48390364
sell_out,C,마,M,hw,74281611
sell_out,C,마,M,ses,91267579
sell_out,C,마,M,arma,99762780
sell_out,C,마,M,arima,101791387
sell_out,C,all,D,ar,684319
sell_out,C,all,D,ses,808420
sell_out,C,all,D,hw,927924
sell_out,C,all,D,arima,977211
sell_out,C,all,D,arma,1989436
sell_out,C,all,W,hw,6346926
sell_out,C,all,W,ar,7187441
sell_out,C,all,W,ses,8164661
sell_out,C,all,W,arima,11642753
sell_out,C,all,W,arma,25803643
sell_out,C,all,M,ar,39160649
sell_out,C,all,M,hw,64560890
sell_out,C,all,M,ses,80969915
sell_out,C,all,M,arma,96105696
sell_out,C,all,M,arima,100560764
sell_out,all,바,D,ar,421110
sell_out,all,바,D,arma,507060
sell_out,all,바,D,arima,512140
sell_out,all,바,D,ses,602538
sell_out,all,바,D,hw,837529
sell_out,all,바,W,ar,7340039
sell_out,all,바,W,ses,8319558
sell_out,all,바,W,hw,8441119
sell_out,all,바,W,arima,10485239
sell_out,all,바,W,arma,11879622
sell_out,all,바,M,ses,14783648
sell_out,all,바,M,ar,22737134
sell_out,all,바,M,arma,25122312
sell_out,all,바,M,hw,27930541
sell_out,all,바,M,arima,31271236
sell_out,all,가,D,arima,705658
sell_out,all,가,D,arma,734390
sell_out,all,가,D,ses,800361
sell_out,all,가,D,ar,1035441
sell_out,all,가,D,hw,1042323
sell_out,all,가,W,ar,7624495
sell_out,all,가,W,arima,7907741
sell_out,all,가,W,arma,8049794
sell_out,all,가,W,ses,8167030
sell_out,all,가,W,hw,9346114
sell_out,all,가,M,arima,9929535
sell_out,all,가,M,arma,10211655
sell_out,all,가,M,ses,11660535
sell_out,all,가,M,ar,11999670
sell_out,all,가,M,hw,15606031
sell_out,all,다,D,hw,640153
sell_out,all,다,D,arma,712505
sell_out,all,다,D,ar,714356
sell_out,all,다,D,arima,735963
sell_out,all,다,D,ses,778353
sell_out,all,다,W,hw,6755945
sell_out,all,다,W,ar,11143974
sell_out,all,다,W,arima,11523279
sell_out,all,다,W,arma,13159670
sell_out,all,다,W,ses,14187387
sell_out,all,다,M,ar,78383101
sell_out,all,다,M,arima,84244011
sell_out,all,다,M,arma,94288866
sell_out,all,다,M,ses,106348616
sell_out,all,다,M,hw,126674779
sell_out,all,나,D,arima,1302874
sell_out,all,나,D,ar,1314529
sell_out,all,나,D,ses,1316181
sell_out,all,나,D,arma,1327489
sell_out,all,나,D,hw,1379441
sell_out,all,나,W,arima,7351101
sell_out,all,나,W,arma,7882628
sell_out,all,나,W,ar,8391419
sell_out,all,나,W,ses,8835005
sell_out,all,나,W,hw,8962799
sell_out,all,나,M,arma,19606638
sell_out,all,나,M,arima,19616428
sell_out,all,나,M,ar,22720311
sell_out,all,나,M,ses,23846957
sell_out,all,나,M,hw,25796280
sell_out,all,라,D,ar,239202
sell_out,all,라,D,arima,271586
sell_out,all,라,D,arma,276719
sell_out,all,라,D,ses,280115
sell_out,all,라,D,hw,285450
sell_out,all,라,W,hw,857769
sell_out,all,라,W,ses,1166617
sell_out,all,라,W,ar,1508981
sell_out,all,라,W,arma,1943637
sell_out,all,라,W,arima,2083983
sell_out,all,라,M,arima,14852391
sell_out,all,라,M,arma,14864956
sell_out,all,라,M,ar,15039235
sell_out,all,라,M,ses,19746803
sell_out,all,라,M,hw,23741565
sell_out,all,마,D,ses,396826
sell_out,all,마,D,arima,479069
sell_out,all,마,D,ar,504341
sell_out,all,마,D,hw,884819
sell_out,all,마,D,arma,1286067
sell_out,all,마,W,hw,1936635
sell_out,all,마,W,ar,2592784
sell_out,all,마,W,ses,7604532
sell_out,all,마,W,arima,10061555
sell_out,all,마,W,arma,21922042
sell_out,all,마,M,ar,48390364
sell_out,all,마,M,hw,74281611
sell_out,all,마,M,ses,91267579
sell_out,all,마,M,arma,99762780
sell_out,all,마,M,arima,101791387
sell_out,all,all,D,ar,2754646
sell_out,all,all,D,arima,2931760
sell_out,all,all,D,ses,3263686
sell_out,all,all,D,arma,3344007
sell_out,all,all,D,hw,4293535
sell_out,all,all,W,hw,27419296
sell_out,all,all,W,ses,37977605
sell_out,all,all,W,ar,40962319
sell_out,all,all,W,arima,43655224
sell_out,all,all,W,arma,65404975
sell_out,all,all,M,ar,100052979
sell_out,all,all,M,hw,154764079
sell_out,all,all,M,ses,188808538
sell_out,all,all,M,arma,200106765
sell_out,all,all,M,arima,200328489
