sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_out,all,g1,all,W,ar,6452,s1,True
sell_out,all,g1,all,W,arma,6644,s1,True
sell_out,all,g1,all,W,arima,6794,s1,True
sell_out,all,g2,다,W,arma,16793,s1,True
sell_out,all,g2,다,W,arima,16834,s1,True
sell_out,all,g2,다,W,ar,17032,s1,True
sell_out,all,g2,다,W,ses,20999,s1,True
sell_out,all,g2,다,W,hw,21966,s1,True
sell_out,all,g2,라,W,arma,1242,s1,True
sell_out,all,g2,라,W,arima,1260,s1,True
sell_out,all,g2,라,W,ar,1313,s1,True
sell_out,all,g2,라,W,ses,1406,s1,True
sell_out,all,g2,라,W,hw,1649,s1,True
sell_out,all,g2,all,W,arma,17365,s1,True
sell_out,all,g2,all,W,arima,17442,s1,True
sell_out,all,g2,all,W,ar,17798,s1,True
sell_out,all,g2,all,W,ses,21833,s1,True
sell_out,all,g2,all,W,hw,22589,s1,True
sell_out,all,all,바,W,ar,3406,s1,True
sell_out,all,all,바,W,arima,3753,s1,True
sell_out,all,all,바,W,ses,3913,s1,True
sell_out,all,all,바,W,arma,4115,s1,True
sell_out,all,all,바,W,hw,4306,s1,True
sell_out,all,all,가,W,arima,1721,s1,True
sell_out,all,all,가,W,arma,1722,s1,True
sell_out,all,all,가,W,ar,1794,s1,True
sell_out,all,all,가,W,ses,1936,s1,True
sell_out,all,all,가,W,hw,2098,s1,True
sell_out,all,all,다,W,arma,16793,s1,True
sell_out,all,all,다,W,arima,16834,s1,True
sell_out,all,all,다,W,ar,17032,s1,True
sell_out,all,all,다,W,ses,20999,s1,True
sell_out,all,all,다,W,hw,21966,s1,True
sell_out,all,all,나,W,ses,4374,s1,True
sell_out,all,all,나,W,hw,4801,s1,True
sell_out,all,all,나,W,arma,5491,s1,True
sell_out,all,all,나,W,arima,5612,s1,True
sell_out,all,all,나,W,ar,5717,s1,True
sell_out,all,all,라,W,arma,1242,s1,True
sell_out,all,all,라,W,arima,1260,s1,True
sell_out,all,all,라,W,ar,1313,s1,True
sell_out,all,all,라,W,ses,1406,s1,True
sell_out,all,all,라,W,hw,1649,s1,True
sell_out,all,all,마,W,ses,46832,s1,True
sell_out,all,all,마,W,arima,48141,s1,True
sell_out,all,all,마,W,ar,48176,s1,True
sell_out,all,all,마,W,hw,51781,s1,True
sell_out,all,all,마,W,arma,52096,s1,True
sell_out,all,all,all,W,ar,58732,s1,True
sell_out,all,all,all,W,ses,62417,s1,True
sell_out,all,all,all,W,arima,62668,s1,True
sell_out,all,all,all,W,hw,65504,s1,True
sell_out,all,all,all,W,arma,70424,s1,True
