sell_type,cust_type,prod_type,time_type,modle,dt,prediction
sell_in,all,all,W,ar,2021-01-31,80347486.62530616
sell_in,all,all,W,ar,2021-02-07,57647821.32317364
sell_in,all,all,W,ar,2021-02-14,61891497.40943565
sell_out,A,바,D,ar,2021-01-01,2878121.9366963236
sell_out,A,바,D,ar,2021-01-02,2797743.0593405175
sell_out,A,바,D,ar,2021-01-03,2643375.160638133
sell_out,A,바,D,ar,2021-01-04,2496754.5039647655
sell_out,A,바,D,ar,2021-01-05,2811873.4959952706
sell_out,A,바,D,ar,2021-01-06,2873301.6244817306
sell_out,A,바,W,ar,2021-01-10,14598856.044799954
sell_out,A,바,W,ar,2021-01-17,13230887.573264956
sell_out,A,바,W,ar,2021-01-24,16205068.258752376
sell_out,A,바,W,ar,2021-01-31,14364805.9429205
sell_out,A,바,W,ar,2021-02-07,13533179.211373225
sell_out,A,바,W,ar,2021-02-14,13663584.646635264
sell_out,A,가,D,ar,2021-01-01,5487890.2053096555
sell_out,A,가,D,ar,2021-01-02,5949593.6345592
sell_out,A,가,D,ar,2021-01-03,5679512.389210314
sell_out,A,가,D,ar,2021-01-04,4317445.763816257
sell_out,A,가,D,ar,2021-01-05,4355377.29371292
sell_out,A,가,D,ar,2021-01-06,4441106.349523206
sell_out,A,가,W,ar,2021-01-10,25483497.343046978
sell_out,A,가,W,ar,2021-01-17,28820652.082699288
sell_out,A,가,W,ar,2021-01-24,30030057.874163337
sell_out,A,가,W,ar,2021-01-31,30472093.237201698
sell_out,A,가,W,ar,2021-02-07,29385231.99040759
sell_out,A,가,W,ar,2021-02-14,29292675.88330564
sell_out,A,다,D,ar,2021-01-01,4868384.285871987
sell_out,A,다,D,ar,2021-01-02,6399671.553029793
sell_out,A,다,D,ar,2021-01-03,6159185.651253361
sell_out,A,다,D,ar,2021-01-04,3336272.863490539
sell_out,A,다,D,ar,2021-01-05,3941503.8169340505
sell_out,A,다,D,ar,2021-01-06,4020443.396387486
sell_out,A,다,W,ar,2021-01-10,18381503.62184459
sell_out,A,다,W,ar,2021-01-17,20677990.25103286
sell_out,A,다,W,ar,2021-01-24,19712320.201996807
sell_out,A,다,W,ar,2021-01-31,20928195.561465144
sell_out,A,다,W,ar,2021-02-07,22761442.156139698
sell_out,A,다,W,ar,2021-02-14,21211991.801068693
sell_out,A,all,D,ar,2021-01-01,13444488.127332665
sell_out,A,all,D,ar,2021-01-02,15486101.345745655
sell_out,A,all,D,ar,2021-01-03,14821624.623236235
sell_out,A,all,D,ar,2021-01-04,10598415.339897366
sell_out,A,all,D,ar,2021-01-05,11710600.110881569
sell_out,A,all,D,ar,2021-01-06,12016620.64645653
sell_out,A,all,W,ar,2021-01-10,66887311.13930027
sell_out,A,all,W,ar,2021-01-17,64410422.77372167
sell_out,A,all,W,ar,2021-01-24,63475614.32533256
sell_out,A,all,W,ar,2021-01-31,62658948.3547083
sell_out,A,all,W,ar,2021-02-07,63147001.74219875
sell_out,A,all,W,ar,2021-02-14,61176516.96424843
sell_out,B,바,D,ar,2021-01-01,315623.6890796736
sell_out,B,바,D,ar,2021-01-02,495549.4299823558
sell_out,B,바,D,ar,2021-01-03,147553.767762486
sell_out,B,바,D,ar,2021-01-04,341015.795841218
sell_out,B,바,D,ar,2021-01-05,302016.2302013327
sell_out,B,바,D,ar,2021-01-06,224927.03692559796
sell_out,B,바,W,ar,2021-01-10,1605232.8319694444
sell_out,B,바,W,ar,2021-01-17,1147067.9973120035
sell_out,B,바,W,ar,2021-01-24,2230630.97271301
sell_out,B,바,W,ar,2021-01-31,1780052.7970076336
sell_out,B,바,W,ar,2021-02-07,1385613.0513341585
sell_out,B,바,W,ar,2021-02-14,1018885.2541399482
sell_out,B,나,D,ar,2021-01-01,2901609.614797807
sell_out,B,나,D,ar,2021-01-02,3522886.3923183563
sell_out,B,나,D,ar,2021-01-03,2356635.041390257
sell_out,B,나,D,ar,2021-01-04,2295126.8178989007
sell_out,B,나,D,ar,2021-01-05,2106312.9106608
sell_out,B,나,D,ar,2021-01-06,2192570.2857121844
sell_out,B,나,W,ar,2021-01-10,8524376.766960517
sell_out,B,나,W,ar,2021-01-17,10896709.375186846
sell_out,B,나,W,ar,2021-01-24,12004414.216307178
sell_out,B,나,W,ar,2021-01-31,11402303.649472008
sell_out,B,나,W,ar,2021-02-07,11150271.704723338
sell_out,B,나,W,ar,2021-02-14,10783595.272478305
sell_out,B,라,D,ar,2021-01-01,1018924.2809547922
sell_out,B,라,D,ar,2021-01-02,1472375.305535861
sell_out,B,라,D,ar,2021-01-03,716009.9911292146
sell_out,B,라,D,ar,2021-01-04,1055447.5324691655
sell_out,B,라,D,ar,2021-01-05,1057543.6869784503
sell_out,B,라,D,ar,2021-01-06,1010842.1848308966
sell_out,B,라,W,ar,2021-01-10,3877410.24267756
sell_out,B,라,W,ar,2021-01-17,4488196.723858614
sell_out,B,라,W,ar,2021-01-24,5311629.533273958
sell_out,B,라,W,ar,2021-01-31,5110598.844382529
sell_out,B,라,W,ar,2021-02-07,5863983.320125789
sell_out,B,라,W,ar,2021-02-14,5509191.4151692055
sell_out,B,all,D,ar,2021-01-01,3783341.3199429875
sell_out,B,all,D,ar,2021-01-02,5173906.6027048435
sell_out,B,all,D,ar,2021-01-03,3119989.0712293666
sell_out,B,all,D,ar,2021-01-04,3630889.0839977423
sell_out,B,all,D,ar,2021-01-05,3494347.862091902
sell_out,B,all,D,ar,2021-01-06,3475862.2333254833
sell_out,B,all,W,ar,2021-01-10,16015618.141890734
sell_out,B,all,W,ar,2021-01-17,18165608.595517747
sell_out,B,all,W,ar,2021-01-24,20253382.75477192
sell_out,B,all,W,ar,2021-01-31,18556981.90760114
sell_out,B,all,W,ar,2021-02-07,19720195.76399654
sell_out,B,all,W,ar,2021-02-14,18385247.287075914
sell_out,C,바,D,ar,2021-01-01,391082.0440770223
sell_out,C,바,D,ar,2021-01-02,384852.82333036204
sell_out,C,바,D,ar,2021-01-03,71695.24730438566
sell_out,C,바,D,ar,2021-01-04,318807.68562501896
sell_out,C,바,D,ar,2021-01-05,343276.2119547067
sell_out,C,바,D,ar,2021-01-06,367803.57224622596
sell_out,C,바,W,ar,2021-01-10,2570571.8463076595
sell_out,C,바,W,ar,2021-01-17,1926158.5831465789
sell_out,C,바,W,ar,2021-01-24,2179412.4229265032
sell_out,C,바,W,ar,2021-01-31,2742393.316886686
sell_out,C,바,W,ar,2021-02-07,2148897.0134337833
sell_out,C,바,W,ar,2021-02-14,1554836.587236263
sell_out,C,나,D,ar,2021-01-01,663768.4095827173
sell_out,C,나,D,ar,2021-01-02,679709.3389070233
sell_out,C,나,D,ar,2021-01-03,155112.3849909451
sell_out,C,나,D,ar,2021-01-04,253954.88178384124
sell_out,C,나,D,ar,2021-01-05,222120.36001159943
sell_out,C,나,D,ar,2021-01-06,455247.39903007384
sell_out,C,나,W,ar,2021-01-10,-98382.12659130144
sell_out,C,나,W,ar,2021-01-17,3997757.115961734
sell_out,C,나,W,ar,2021-01-24,5556636.251615741
sell_out,C,나,W,ar,2021-01-31,5307379.106432992
sell_out,C,나,W,ar,2021-02-07,2365273.332850971
sell_out,C,나,W,ar,2021-02-14,1169945.1837479023
sell_out,C,마,D,ar,2021-01-01,2229826.117961098
sell_out,C,마,D,ar,2021-01-02,3565274.3585808063
sell_out,C,마,D,ar,2021-01-03,-658734.4709466889
sell_out,C,마,D,ar,2021-01-04,936723.1412595577
sell_out,C,마,D,ar,2021-01-05,711629.5069662491
sell_out,C,마,D,ar,2021-01-06,1646075.3441921636
sell_out,C,마,W,ar,2021-01-10,5597610.203741781
sell_out,C,마,W,ar,2021-01-17,1874033.0764627163
sell_out,C,마,W,ar,2021-01-24,10770738.926925682
sell_out,C,마,W,ar,2021-01-31,12735008.22776976
sell_out,C,마,W,ar,2021-02-07,8458257.004094964
sell_out,C,마,W,ar,2021-02-14,-543903.0529841315
sell_out,C,all,D,ar,2021-01-01,3523816.0100991167
sell_out,C,all,D,ar,2021-01-02,5035731.48296542
sell_out,C,all,D,ar,2021-01-03,-178231.68401161328
sell_out,C,all,D,ar,2021-01-04,1834213.6201194131
sell_out,C,all,D,ar,2021-01-05,1550660.5333586067
sell_out,C,all,D,ar,2021-01-06,2698025.9691061378
sell_out,C,all,W,ar,2021-01-10,13442041.251311246
sell_out,C,all,W,ar,2021-01-17,12779693.613122135
sell_out,C,all,W,ar,2021-01-24,22142479.492456615
sell_out,C,all,W,ar,2021-01-31,22681142.184380043
sell_out,C,all,W,ar,2021-02-07,16179865.581255376
sell_out,C,all,W,ar,2021-02-14,6089637.361873604
sell_out,all,바,D,ar,2021-01-01,3753701.888830137
sell_out,all,바,D,ar,2021-01-02,3770648.788045473
sell_out,all,바,D,ar,2021-01-03,2922373.3660510983
sell_out,all,바,D,ar,2021-01-04,3208851.082605982
sell_out,all,바,D,ar,2021-01-05,3532041.3186305705
sell_out,all,바,D,ar,2021-01-06,3532125.5738344286
sell_out,all,바,W,ar,2021-01-10,19806067.986817308
sell_out,all,바,W,ar,2021-01-17,17618075.75136142
sell_out,all,바,W,ar,2021-01-24,22017843.816388536
sell_out,all,바,W,ar,2021-01-31,20177914.36482079
sell_out,all,바,W,ar,2021-02-07,18743528.602986258
sell_out,all,바,W,ar,2021-02-14,17478112.103795607
sell_out,all,가,D,ar,2021-01-01,5487890.2053096555
sell_out,all,가,D,ar,2021-01-02,5949593.6345592
sell_out,all,가,D,ar,2021-01-03,5679512.389210314
sell_out,all,가,D,ar,2021-01-04,4317445.763816257
sell_out,all,가,D,ar,2021-01-05,4355377.29371292
sell_out,all,가,D,ar,2021-01-06,4441106.349523206
sell_out,all,가,W,ar,2021-01-10,25483497.343046978
sell_out,all,가,W,ar,2021-01-17,28820652.082699288
sell_out,all,가,W,ar,2021-01-24,30030057.874163337
sell_out,all,가,W,ar,2021-01-31,30472093.237201698
sell_out,all,가,W,ar,2021-02-07,29385231.99040759
sell_out,all,가,W,ar,2021-02-14,29292675.88330564
sell_out,all,다,D,ar,2021-01-01,4868384.285871987
sell_out,all,다,D,ar,2021-01-02,6399671.553029793
sell_out,all,다,D,ar,2021-01-03,6159185.651253361
sell_out,all,다,D,ar,2021-01-04,3336272.863490539
sell_out,all,다,D,ar,2021-01-05,3941503.8169340505
sell_out,all,다,D,ar,2021-01-06,4020443.396387486
sell_out,all,다,W,ar,2021-01-10,18381503.62184459
sell_out,all,다,W,ar,2021-01-17,20677990.25103286
sell_out,all,다,W,ar,2021-01-24,19712320.201996807
sell_out,all,다,W,ar,2021-01-31,20928195.561465144
sell_out,all,다,W,ar,2021-02-07,22761442.156139698
sell_out,all,다,W,ar,2021-02-14,21211991.801068693
sell_out,all,나,D,ar,2021-01-01,3606640.5099502876
sell_out,all,나,D,ar,2021-01-02,4117843.3201986365
sell_out,all,나,D,ar,2021-01-03,2596286.080379589
sell_out,all,나,D,ar,2021-01-04,2643263.6757552987
sell_out,all,나,D,ar,2021-01-05,2347331.410057823
sell_out,all,나,D,ar,2021-01-06,2643974.359639981
sell_out,all,나,W,ar,2021-01-10,9388676.005226647
sell_out,all,나,W,ar,2021-01-17,16762483.257224215
sell_out,all,나,W,ar,2021-01-24,19455334.680918388
sell_out,all,나,W,ar,2021-01-31,17010209.02566297
